2028840,7
2058391,7
2058502,7
2065665,7
2066092,7
2066572,7
2068974,5
2069008,1
2070766,7
2071371,7
2071568,7
2075717,7
2075717,2
2075962,7
2076896,7
2076896,9
2076926,7
2076985,7
2077388,7
2077418,7
2077426,7
2077450,2
2077450,7
2077469,7
2077477,7
2077485,7
2077493,7
2077507,7
2077523,7
2077531,7
2077574,7
2077590,7
2077612,7
2077620,7
2077639,7
2077639,2
2077655,7
2077671,7
2077701,7
2077752,7
2077957,7
2078015,7
2078287,7
2078325,7
2078589,7
2079186,7
2079186,2
2079240,7
2080125,7
2080346,7
2080346,2
2080346,9
2080575,7
2080583,7
2080583,2
2080583,9
2080788,7
2080788,2
2080818,7
2081970,1
2081970,2
2081970,7
2082225,7
2082829,7
2082829,2
2082829,9
2084139,2
2084139,7
2084473,2
2084473,9
2084473,7
2088495,7
2088517,7
2088576,7
2089203,7
2089572,7
2089637,7
2089696,7
2089777,7
2089785,7
2091313,7
2091356,7
2091399,7
2091542,1
2091550,7
2091577,7
2091585,7
2091658,1
2091658,2
2091755,7
2688514,7
2688522,7
2688573,7
2688638,7
2688689,7
2751933,1
2751933,2
2752077,7
2786680,7
2786680,2
2786680,9
2812703,7
3001466,7
3212130,7
3212130,9
5420938,7
5420938,9
5437156,7
5451612,1
5718368,7
5718368,9
6123740,7
6136028,1
6136028,2
6479200,1
6585019,3
6984649,7
6998194,1
7019076,1
7378394,1
7378394,2
7385978,1
7711980,7
